Date,Open,High,Low,Close,Adj Close,Volume
2020-10-02,65.889999,67.629997,65.720001,67.160004,67.160004,1001300
2020-10-05,67.889999,68.309998,67.300003,68.209999,68.209999,2524600
2020-10-06,68.089996,68.879997,67.199997,67.480003,67.480003,1922300
2020-10-07,68.309998,68.360001,67.070000,67.410004,67.410004,2138900
2020-10-08,67.500000,69.220001,67.440002,68.660004,68.660004,2481000
2020-10-09,69.089996,69.440002,68.339996,68.389999,68.389999,1164500
2020-10-12,68.650002,69.510002,68.500000,69.250000,69.250000,791800
2020-10-13,70.000000,71.040001,69.550003,70.510002,70.510002,1605400
2020-10-14,70.750000,71.449997,70.279999,70.650002,70.650002,1052900
2020-10-15,69.529999,70.400002,68.849998,70.040001,70.040001,1296600
2020-10-16,70.820000,71.209999,70.120003,70.150002,70.150002,1516500
2020-10-19,70.400002,70.910004,69.230003,69.500000,69.500000,1058100
2020-10-20,70.129997,70.389999,69.370003,69.410004,69.410004,747400
2020-10-21,69.720001,70.559998,69.360001,69.830002,69.830002,1909600
2020-10-22,70.419998,70.419998,67.779999,68.779999,68.779999,1014300
2020-10-23,68.739998,68.860001,67.839996,68.180000,68.180000,1319300
2020-10-26,67.349998,67.489998,63.939999,64.739998,64.739998,1982000
2020-10-27,64.800003,64.989998,63.490002,63.570000,63.570000,946600
2020-10-28,62.040001,62.439999,60.669998,60.700001,60.700001,1752400
2020-10-29,60.490002,61.029999,59.820000,60.520000,60.520000,1799400
2020-10-30,60.439999,60.869999,58.880001,60.259998,60.259998,1805000
2020-11-02,61.189999,61.459999,60.060001,60.290001,60.290001,1118400
2020-11-03,61.070000,62.869999,61.009998,61.750000,61.750000,848400
2020-11-04,62.470001,63.049999,61.340000,62.230000,62.230000,1706100
2020-11-05,63.200001,64.599998,63.000000,64.510002,64.510002,1522200
2020-11-06,64.720001,64.879997,63.400002,64.589996,64.589996,761100
2020-11-09,65.930000,66.050003,64.190002,64.239998,64.239998,1507100
2020-11-10,64.139999,65.190002,63.270000,64.610001,64.610001,1745700
2020-11-11,65.269997,65.269997,64.070000,64.879997,64.879997,998900
2020-11-12,64.849998,65.430000,63.939999,64.419998,64.419998,1221900
2020-11-13,64.959999,66.190002,64.769997,66.110001,66.110001,1507300
2020-11-16,66.529999,67.510002,65.610001,67.349998,67.349998,1435700
2020-11-17,66.839996,68.199997,66.559998,67.860001,67.860001,996500
2020-11-18,68.449997,68.769997,67.440002,67.599998,67.599998,1281000
2020-11-19,67.459999,68.720001,66.709999,68.500000,68.500000,2313300
2020-11-20,68.690002,69.190002,68.300003,68.339996,68.339996,1439600
2020-11-23,68.599998,69.839996,68.540001,69.379997,69.379997,1485700
2020-11-24,70.000000,70.500000,69.400002,70.330002,70.330002,2933100
2020-11-25,69.830002,69.980003,67.250000,69.349998,69.349998,4444200
2020-11-27,69.360001,70.220001,69.029999,69.820000,69.820000,1408700
2020-11-30,70.239998,70.419998,68.010002,69.029999,69.029999,2402400
2020-12-01,69.849998,70.769997,69.059998,70.519997,70.519997,3442900
2020-12-02,70.599998,71.099998,69.669998,70.519997,70.519997,2379100
2020-12-03,70.820000,71.510002,70.089996,70.910004,70.910004,2243600
2020-12-04,71.040001,72.279999,70.650002,72.099998,72.099998,2565300
2020-12-07,72.230003,72.639999,69.959999,70.379997,70.379997,3153900
2020-12-08,70.320000,71.919998,70.139999,71.870003,71.870003,1837600
2020-12-09,72.139999,72.970001,71.010002,71.529999,71.529999,2363100
2020-12-10,70.949997,72.239998,70.309998,72.160004,72.160004,2484600
2020-12-11,71.709999,72.540001,71.150002,71.639999,71.639999,1463300
2020-12-14,72.000000,72.970001,71.919998,72.430000,72.430000,2158800
2020-12-15,73.320000,73.879997,72.379997,73.739998,73.739998,2008800
2020-12-16,73.949997,74.290001,73.650002,73.870003,73.870003,1622900
