Date,Open,High,Low,Close,Adj Close,Volume
2020-10-02,95.250000,98.589996,95.089996,97.889999,95.184158,15149600
2020-10-05,98.320000,99.250000,97.529999,99.040001,97.195984,13871900
2020-10-06,100.070000,100.860001,97.510002,98.019997,96.194977,19220400
2020-10-07,98.959999,100.349998,98.669998,99.730003,97.873146,16358500
2020-10-08,100.510002,101.919998,99.900002,101.779999,99.884972,15659000
2020-10-09,102.000000,102.110001,100.110001,101.199997,99.315765,13689100
2020-10-12,101.099998,103.000000,100.849998,102.440002,100.532692,16058000
2020-10-13,103.000000,103.220001,100.260002,100.779999,98.903587,21697300
2020-10-14,101.029999,101.930000,100.099998,100.220001,98.354019,15204100
2020-10-15,99.099998,101.779999,99.040001,101.720001,99.826096,17171200
2020-10-16,101.410004,102.330002,100.720001,101.510002,99.620003,13275000
2020-10-19,101.599998,101.870003,99.559998,99.800003,97.941841,11725700
2020-10-20,100.309998,101.769997,100.120003,100.370003,98.501228,11257100
2020-10-21,100.360001,100.989998,99.330002,99.370003,97.519852,10730500
2020-10-22,99.320000,103.239998,99.309998,102.879997,100.964485,14837200
2020-10-23,103.500000,104.449997,102.930000,103.809998,101.877182,15087600
2020-10-26,102.650002,102.699997,100.250000,101.239998,99.355026,12410700
2020-10-27,100.510002,100.919998,99.160004,99.330002,97.480591,10391700
2020-10-28,97.500000,98.300003,96.070000,96.540001,94.742531,16389500
2020-10-29,96.120003,97.980003,95.239998,97.169998,95.360809,14208800
2020-10-30,97.910004,98.419998,96.230003,98.040001,96.214615,15194500
2020-11-02,99.389999,100.879997,97.860001,100.250000,98.383461,15011600
2020-11-03,103.019997,104.739998,102.690002,103.410004,101.484627,17482600
2020-11-04,101.000000,102.070000,98.930000,100.250000,98.383461,18886500
2020-11-05,101.059998,105.099998,101.000000,104.349998,102.407120,17837400
2020-11-06,105.029999,105.099998,102.389999,102.959999,101.042999,12552800
2020-11-09,113.160004,118.900002,110.349998,116.900002,114.723457,47792400
2020-11-10,117.349998,117.449997,114.690002,116.519997,114.350525,20539300
2020-11-11,116.889999,116.959999,113.959999,114.779999,112.642929,14443400
2020-11-12,112.529999,113.959999,112.059998,113.370003,111.259178,22063000
2020-11-13,114.699997,114.860001,113.570000,114.080002,111.955963,11847900
2020-11-16,117.790001,118.610001,115.730003,117.300003,115.116013,19858600
2020-11-17,115.389999,116.440002,114.580002,116.110001,113.948166,14553200
2020-11-18,117.339996,118.610001,115.199997,115.250000,113.104179,12571200
2020-11-19,114.180000,115.820000,113.559998,115.559998,113.408401,10202500
2020-11-20,114.430000,115.650002,114.089996,114.570000,112.436844,12718900
2020-11-23,116.050003,118.169998,115.570000,117.870003,115.675400,13209200
2020-11-24,120.070000,123.500000,119.709999,123.320000,121.023926,20121600
2020-11-25,121.370003,122.379997,120.470001,122.029999,119.757942,11715600
2020-11-27,122.000000,122.349998,121.080002,121.220001,118.963020,5983600
2020-11-30,120.000000,120.720001,117.769997,117.879997,115.685211,14411800
2020-12-01,120.339996,121.580002,119.629997,119.739998,117.510582,12668900
2020-12-02,119.699997,122.309998,119.269997,122.040001,119.767754,10811300
2020-12-03,121.849998,121.889999,120.360001,121.239998,118.982651,12904400
2020-12-04,122.480003,123.290001,121.690002,122.339996,120.062172,13583700
2020-12-07,121.150002,122.169998,120.209999,121.879997,119.610733,9724300
2020-12-08,121.040001,122.330002,120.760002,122.000000,119.728500,9592100
2020-12-09,123.169998,123.300003,120.440002,121.050003,118.796196,13073900
2020-12-10,119.989998,120.779999,119.559998,120.269997,118.030708,13668400
2020-12-11,118.940002,120.019997,118.370003,119.559998,117.333923,9981600
2020-12-14,121.339996,121.419998,118.110001,118.300003,116.097389,12112400
2020-12-15,119.290001,120.900002,118.620003,120.320000,118.079781,12590200
2020-12-16,120.300003,121.080002,119.860001,120.669998,118.423256,11169400
2020-12-17,121.260002,121.449997,119.580002,119.669998,117.441879,11618000
2020-12-18,119.139999,119.879997,118.269997,119.080002,116.862869,28954800
