Date,Open,High,Low,Close,Adj Close,Volume
2020-10-02,2.180000,2.300000,2.180000,2.270000,2.270000,1004600
2020-10-05,2.210000,2.270000,2.140000,2.180000,2.180000,2077500
2020-10-06,2.170000,2.190000,2.080000,2.080000,2.080000,2183400
2020-10-07,2.080000,2.270000,2.080000,2.220000,2.220000,2309400
2020-10-08,2.290000,2.430000,2.270000,2.320000,2.320000,2224400
2020-10-09,2.340000,2.380000,2.210000,2.220000,2.220000,1046300
2020-10-12,2.320000,2.330000,2.180000,2.210000,2.210000,1312700
2020-10-13,2.210000,2.400000,2.160000,2.390000,2.390000,2098400
2020-10-14,2.310000,2.420000,2.280000,2.300000,2.300000,1279500
2020-10-15,2.580000,2.720000,2.360000,2.580000,2.580000,7686100
2020-10-16,2.500000,2.510000,2.350000,2.380000,2.380000,1779300
2020-10-19,2.550000,2.550000,2.360000,2.440000,2.440000,1250300
2020-10-20,2.380000,2.450000,2.300000,2.380000,2.380000,901600
2020-10-21,2.320000,2.350000,2.270000,2.290000,2.290000,974600
2020-10-22,2.270000,2.330000,2.170000,2.240000,2.240000,1025500
2020-10-23,2.250000,2.320000,2.210000,2.310000,2.310000,623500
2020-10-26,2.310000,2.320000,2.170000,2.200000,2.200000,921200
2020-10-27,2.210000,2.270000,2.150000,2.180000,2.180000,777000
2020-10-28,2.100000,2.150000,1.960000,2.050000,2.050000,2007800
2020-10-29,2.060000,2.130000,2.050000,2.090000,2.090000,638600
2020-10-30,2.050000,2.080000,1.940000,1.980000,1.980000,1873500
2020-11-02,2.000000,2.060000,1.980000,2.030000,2.030000,1861400
2020-11-03,2.110000,2.180000,2.080000,2.120000,2.120000,1172600
2020-11-04,2.160000,2.160000,2.050000,2.060000,2.060000,1021400
2020-11-05,2.090000,2.190000,2.080000,2.170000,2.170000,1062800
2020-11-06,2.130000,2.420000,2.080000,2.310000,2.310000,3592000
2020-11-09,2.240000,2.330000,2.210000,2.300000,2.300000,1495500
2020-11-10,2.390000,2.500000,2.260000,2.340000,2.340000,2479000
2020-11-11,2.380000,2.490000,2.360000,2.420000,2.420000,1701300
2020-11-12,2.500000,2.650000,2.430000,2.650000,2.650000,2482200
2020-11-13,2.800000,2.960000,2.760000,2.950000,2.950000,5135100
2020-11-16,2.890000,3.170000,2.550000,2.690000,2.690000,8468300
2020-11-17,2.500000,2.520000,2.320000,2.330000,2.330000,5019600
2020-11-18,2.430000,2.450000,2.350000,2.360000,2.360000,2042400
2020-11-19,2.420000,2.780000,2.420000,2.680000,2.680000,7366600
2020-11-20,2.920000,2.940000,2.690000,2.800000,2.800000,4631300
2020-11-23,2.930000,3.040000,2.810000,2.940000,2.940000,5856900
2020-11-24,2.980000,2.980000,2.650000,2.800000,2.800000,4102400
2020-11-25,2.800000,2.880000,2.700000,2.830000,2.830000,2009200
2020-11-27,2.800000,2.940000,2.800000,2.870000,2.870000,1775300
2020-11-30,2.810000,2.890000,2.700000,2.890000,2.890000,2896500
2020-12-01,2.750000,2.860000,2.750000,2.820000,2.820000,1859000
2020-12-02,2.770000,2.810000,2.660000,2.720000,2.720000,1794400
2020-12-03,2.700000,2.760000,2.670000,2.670000,2.670000,1311000
2020-12-04,2.700000,2.760000,2.680000,2.700000,2.700000,1180900
2020-12-07,2.700000,2.740000,2.660000,2.660000,2.660000,1628300
2020-12-08,2.610000,2.610000,2.440000,2.560000,2.560000,2782700
2020-12-09,2.740000,2.780000,2.600000,2.690000,2.690000,3390100
2020-12-10,2.650000,2.690000,2.580000,2.610000,2.610000,1375500
2020-12-11,2.610000,2.860000,2.610000,2.800000,2.800000,3096200
2020-12-14,2.830000,3.000000,2.800000,2.800000,2.800000,4149300
2020-12-15,2.900000,2.910000,2.820000,2.870000,2.870000,1209900
2020-12-16,2.870000,3.120000,2.850000,3.050000,3.050000,5796300
2020-12-17,3.090000,3.290000,2.960000,3.220000,3.220000,7007200
2020-12-18,3.250000,4.280000,3.200000,4.050000,4.050000,31178800
2020-12-21,4.000000,5.250000,3.950000,5.200000,5.200000,28910100
2020-12-22,6.540000,7.300000,5.790000,6.790000,6.790000,48830200
2020-12-23,8.440000,8.720000,7.150000,7.930000,7.930000,28147300
2020-12-24,7.250000,7.280000,6.060000,6.580000,6.580000,12054600
2020-12-28,7.510000,7.950000,6.100000,6.380000,6.380000,10434100
2020-12-29,6.450000,6.690000,5.340000,6.100000,6.100000,6098100
2020-12-30,6.180000,6.370000,5.950000,6.290000,6.290000,3350200
2020-12-31,6.200000,6.200000,5.760000,6.000000,6.000000,3128700
2021-01-04,6.000000,6.040000,5.400000,5.470000,5.470000,4395200
2021-01-05,5.350000,6.240000,5.350000,5.960000,5.960000,4151400
2021-01-06,6.290000,6.350000,5.610000,5.740000,5.740000,5112000
2021-01-07,6.040000,8.490000,5.810000,8.190000,8.190000,18643600
2021-01-08,8.690000,9.000000,7.320000,7.790000,7.790000,10175900
2021-01-11,7.170000,7.640000,6.440000,7.090000,7.090000,3907100
2021-01-12,8.000000,8.270000,7.360000,7.790000,7.790000,4583900
2021-01-13,7.900000,8.050000,7.450000,7.780000,7.780000,2971200
2021-01-14,7.790000,11.380000,7.670000,9.450000,9.450000,24351300
2021-01-15,9.890000,10.590000,9.050000,10.010000,10.010000,9984200
2021-01-19,10.650000,12.580000,10.500000,12.300000,12.300000,14459700
2021-01-20,14.350000,15.100000,12.690000,14.970000,14.970000,18941100
2021-01-21,13.730000,14.500000,12.360000,14.120000,14.120000,8483800
2021-01-22,13.110000,13.940000,12.800000,13.890000,13.890000,6373500
2021-01-25,13.750000,14.600000,11.470000,11.970000,11.970000,9805500
2021-01-26,12.350000,12.700000,11.610000,11.960000,11.960000,5351600
2021-01-27,10.700000,11.590000,10.000000,10.110000,10.110000,7282600
2021-01-28,10.720000,11.400000,10.020000,10.800000,10.800000,5612000
2021-01-29,10.500000,10.820000,9.630000,9.770000,9.770000,5486600
2021-02-01,10.060000,12.150000,9.530000,11.500000,11.500000,15312700
2021-02-02,11.870000,11.920000,10.600000,11.100000,11.100000,5621700
2021-02-03,11.210000,11.850000,10.850000,11.400000,11.400000,5398900
2021-02-04,11.430000,12.890000,11.080000,12.410000,12.410000,10738200
2021-02-05,12.120000,12.300000,11.150000,11.470000,11.470000,4984000
2021-02-08,11.300000,12.200000,10.710000,12.000000,12.000000,7465800
2021-02-09,11.720000,14.440000,11.300000,14.440000,14.440000,18634600
2021-02-10,15.150000,17.680000,13.660000,15.690000,15.690000,21518700
2021-02-11,15.520000,15.780000,12.600000,14.350000,14.350000,9204300
2021-02-12,13.790000,14.960000,13.350000,14.700000,14.700000,4054300
2021-02-16,15.640000,15.750000,14.350000,14.820000,14.820000,6246700
2021-02-17,14.200000,15.220000,13.620000,14.090000,14.090000,4156700
2021-02-18,13.060000,13.330000,8.100000,8.960000,8.960000,36851300
2021-02-19,11.000000,11.740000,9.660000,10.320000,10.320000,29906500
2021-02-22,9.900000,10.290000,9.150000,9.300000,9.300000,6266900
2021-02-23,7.880000,8.660000,7.000000,8.010000,8.010000,7296200
2021-02-24,8.370000,9.750000,8.340000,9.180000,9.180000,6318700
2021-02-25,9.400000,9.400000,7.760000,7.990000,7.990000,4798100
2021-02-26,8.320000,8.460000,7.690000,8.100000,8.100000,2936000
2021-03-01,8.590000,8.640000,8.110000,8.310000,8.310000,2795300
2021-03-02,8.290000,8.530000,8.000000,8.080000,8.080000,2066900
2021-03-03,7.860000,8.130000,7.000000,7.130000,7.130000,4071700
2021-03-04,6.800000,7.110000,5.410000,5.920000,5.920000,7861100
2021-03-05,5.940000,6.200000,4.510000,5.840000,5.840000,7841200
2021-03-08,6.190000,7.050000,5.810000,6.220000,6.220000,6003400
2021-03-09,6.720000,7.760000,6.380000,7.650000,7.650000,5575900
2021-03-10,9.300000,9.300000,7.650000,8.190000,8.190000,8009300
2021-03-11,8.340000,8.540000,8.100000,8.470000,8.470000,3366300
2021-03-12,8.110000,8.720000,7.920000,8.660000,8.660000,2493600
2021-03-15,8.550000,8.720000,7.910000,8.180000,8.180000,3061800
2021-03-16,8.100000,8.110000,7.250000,7.470000,7.470000,3388400
2021-03-17,6.980000,8.100000,6.820000,8.060000,8.060000,3538900
2021-03-18,7.760000,8.030000,7.410000,7.510000,7.510000,1956100
2021-03-19,7.340000,7.820000,7.180000,7.800000,7.800000,1932500
2021-03-22,7.950000,7.960000,7.440000,7.750000,7.750000,2460700
2021-03-23,7.630000,7.750000,6.970000,7.150000,7.150000,1925300
2021-03-24,7.110000,7.250000,6.400000,6.410000,6.410000,1887300
2021-03-25,6.020000,6.920000,6.000000,6.750000,6.750000,2377700
2021-03-26,6.790000,6.850000,6.110000,6.470000,6.470000,2414400
2021-03-29,6.330000,6.480000,5.950000,6.120000,6.120000,1667800
2021-03-30,5.860000,6.230000,5.620000,6.100000,6.100000,2475000
2021-03-31,6.270000,6.440000,6.050000,6.260000,6.260000,5050800
2021-04-01,7.380000,7.690000,6.780000,7.310000,7.310000,10325800
2021-04-05,7.060000,8.470000,6.560000,8.350000,8.350000,9410100
2021-04-06,7.610000,7.820000,7.230000,7.290000,7.290000,4955900
2021-04-07,7.080000,7.300000,6.740000,6.740000,6.740000,2704600
2021-04-08,6.950000,7.150000,6.610000,6.830000,6.830000,2628700
2021-04-09,6.790000,6.850000,6.450000,6.530000,6.530000,1992100
2021-04-12,6.330000,6.460000,5.850000,5.860000,5.860000,3113800
2021-04-13,5.870000,6.220000,5.710000,5.910000,5.910000,2553500
2021-04-14,5.870000,6.200000,5.570000,5.570000,5.570000,2924900
2021-04-15,5.740000,5.740000,4.610000,5.040000,5.040000,5931700
2021-04-16,4.790000,5.080000,4.500000,5.020000,5.020000,4528200
2021-04-19,5.170000,5.740000,4.950000,5.400000,5.400000,9635200
2021-04-20,5.440000,5.500000,4.740000,4.890000,4.890000,4344200
2021-04-21,4.810000,5.940000,4.560000,5.620000,5.620000,13507100
2021-04-22,5.510000,5.710000,5.220000,5.280000,5.280000,4995100
2021-04-23,5.330000,6.400000,5.220000,6.250000,6.250000,10919500
2021-04-26,6.090000,6.520000,5.920000,6.370000,6.370000,4447300
2021-04-27,6.480000,6.770000,6.020000,6.380000,6.380000,10125500
2021-04-28,6.270000,6.330000,6.010000,6.110000,6.110000,2997300
2021-04-29,6.150000,6.200000,5.640000,5.950000,5.950000,3483400
2021-04-30,5.750000,6.090000,5.650000,5.740000,5.740000,2223700
2021-05-03,5.790000,5.800000,5.370000,5.560000,5.560000,2104800
2021-05-04,5.440000,5.760000,5.220000,5.760000,5.760000,2556400
2021-05-05,5.790000,5.790000,5.230000,5.310000,5.310000,1071300
2021-05-06,5.220000,5.440000,4.930000,5.090000,5.090000,2103600
2021-05-07,5.130000,5.490000,5.080000,5.460000,5.460000,2013800
2021-05-10,5.220000,5.320000,4.680000,4.690000,4.690000,3187800
2021-05-11,4.220000,4.880000,4.200000,4.750000,4.750000,3801900
