Date,Open,High,Low,Close,Adj Close,Volume
2020-10-02,142.339996,143.100006,140.130005,140.500000,138.351791,8195000
2020-10-05,141.289993,142.190002,141.070007,141.800003,139.631927,4753000
2020-10-06,141.869995,142.940002,140.250000,140.630005,138.479813,7158500
2020-10-07,141.259995,141.550003,140.250000,140.889999,138.735840,5649700
2020-10-08,141.509995,142.089996,141.119995,141.360001,139.198654,4892300
2020-10-09,141.660004,143.339996,141.559998,142.779999,140.596939,4831600
2020-10-12,143.020004,145.389999,143.020004,144.250000,142.044464,6134100
2020-10-13,144.679993,146.600006,144.360001,146.229996,143.994186,7933400
2020-10-14,146.399994,146.529999,143.759995,143.940002,141.739197,6570300
2020-10-15,143.089996,144.960007,142.839996,144.529999,142.320190,4564200
2020-10-16,145.399994,146.149994,144.470001,144.710007,142.497437,5645000
2020-10-19,145.100006,145.369995,142.750000,142.949997,140.764328,4881100
2020-10-20,144.110001,145.529999,143.619995,143.899994,141.699799,4841000
2020-10-21,143.839996,145.729996,143.839996,144.399994,142.192169,4371400
2020-10-22,144.190002,144.559998,142.690002,143.550003,141.355179,4448000
2020-10-23,143.970001,144.139999,142.850006,143.850006,141.650574,3513500
2020-10-26,142.839996,143.119995,140.940002,142.160004,139.986420,5370600
2020-10-27,142.050003,143.699997,141.970001,142.869995,140.685562,3943700
2020-10-28,140.960007,142.130005,139.880005,140.039993,137.898834,5616400
2020-10-29,140.000000,141.110001,138.699997,139.919998,137.780655,5051300
2020-10-30,139.179993,140.089996,137.369995,138.750000,136.628555,6200600
2020-11-02,140.589996,140.809998,139.029999,140.399994,138.253326,5525200
2020-11-03,141.649994,144.160004,141.570007,142.779999,140.596939,5137700
2020-11-04,141.570007,144.389999,141.339996,141.960007,139.789474,5975800
2020-11-05,144.000000,144.229996,142.940002,143.470001,141.276398,4734200
2020-11-06,144.360001,146.220001,143.550003,145.770004,143.541214,5399500
2020-11-09,148.000000,148.199997,143.479996,143.539993,141.345306,9399500
2020-11-10,143.750000,146.440002,143.529999,145.559998,143.334427,6066400
2020-11-11,146.919998,148.960007,146.399994,147.979996,145.717438,6268600
2020-11-12,148.479996,148.710007,147.100006,148.229996,145.963623,4188100
2020-11-13,148.940002,150.940002,147.520004,150.539993,148.238297,6579400
2020-11-16,150.529999,153.399994,149.279999,152.440002,150.109238,11520100
2020-11-17,150.500000,153.240005,149.179993,149.369995,147.086166,14237200
2020-11-18,149.860001,151.669998,149.050003,149.089996,146.810471,8312300
2020-11-19,149.460007,152.449997,149.320007,152.119995,149.794113,6196900
2020-11-20,151.169998,152.759995,149.809998,150.240005,147.942871,7312400
2020-11-23,150.369995,151.399994,149.369995,150.929993,148.622314,6185700
2020-11-24,151.740005,151.979996,150.270004,151.360001,149.045746,5718400
2020-11-25,151.250000,152.389999,151.210007,151.830002,149.508575,4611100
2020-11-27,152.149994,152.720001,151.100006,151.600006,149.282104,3666500
2020-11-30,151.600006,152.949997,150.100006,152.789993,150.453888,10898500
2020-12-01,153.600006,153.660004,151.660004,152.639999,150.306168,7645100
2020-12-02,152.000000,152.619995,149.529999,150.520004,148.218613,7849000
2020-12-03,150.279999,150.279999,148.389999,149.300003,147.017242,8575300
2020-12-04,149.509995,149.509995,147.580002,148.910004,146.633209,6963100
2020-12-07,148.460007,148.990005,147.160004,148.110001,145.845444,6159700
2020-12-08,147.360001,149.850006,147.179993,149.449997,147.164963,6905500
2020-12-09,150.000000,150.000000,147.889999,148.270004,146.002991,6713200
2020-12-10,147.750000,148.149994,146.570007,147.039993,145.321045,6884100
2020-12-11,146.919998,147.509995,145.940002,147.000000,145.281540,5620300
2020-12-14,147.699997,147.720001,145.399994,145.649994,143.947311,8362700
2020-12-15,145.520004,146.360001,144.860001,145.580002,143.878143,10623800
2020-12-16,146.240005,146.889999,145.080002,145.429993,143.729889,8550300
2020-12-17,146.059998,146.440002,145.149994,146.100006,144.392059,10226500
2020-12-18,146.619995,147.179993,145.160004,145.949997,144.243805,13794700
2020-12-21,145.500000,146.669998,145.059998,145.970001,144.263580,8517700
2020-12-22,145.149994,146.229996,143.139999,144.199997,142.514252,12533000
2020-12-23,143.539993,144.220001,142.300003,143.220001,141.545731,6810200
2020-12-24,143.539993,144.389999,143.179993,143.500000,141.822464,3018200
2020-12-28,144.039993,145.300003,143.330002,145.220001,143.522354,6448300
2020-12-29,145.639999,145.850006,143.589996,144.300003,142.613098,5979400
2020-12-30,144.880005,145.149994,143.940002,144.179993,142.494507,6250400
2020-12-31,144.199997,144.270004,142.850006,144.149994,142.464844,5938000
2021-01-04,144.300003,146.889999,144.279999,146.529999,144.817017,10727400
2021-01-05,146.600006,147.070007,144.490005,145.750000,144.046143,8832700
2021-01-06,145.089996,148.100006,145.009995,146.660004,144.945511,7306300
2021-01-07,147.619995,147.759995,146.039993,146.649994,144.935623,6846000
2021-01-08,146.880005,147.000000,145.809998,146.630005,144.915848,8159400
2021-01-11,146.000000,147.990005,146.000000,147.289993,145.568130,8754800
2021-01-12,149.000000,149.929993,148.320007,148.970001,147.228500,7791100
2021-01-13,148.750000,149.070007,147.429993,147.449997,145.726273,5356500
2021-01-14,147.820007,148.000000,146.039993,146.970001,145.251877,7672400
2021-01-15,145.139999,145.899994,143.669998,144.639999,142.949127,11973500
2021-01-19,144.639999,145.070007,142.669998,143.389999,141.713730,8041200
2021-01-20,143.589996,145.660004,142.889999,145.509995,143.808945,7925200
2021-01-21,145.360001,145.729996,144.210007,144.850006,143.156677,4775300
2021-01-22,145.600006,147.339996,145.119995,146.330002,144.619354,6406500
2021-01-25,145.360001,146.250000,144.270004,146.199997,144.490891,6343700
2021-01-26,145.630005,147.809998,145.470001,147.509995,145.785568,5010500
2021-01-27,146.960007,147.860001,143.550003,143.839996,142.158478,9970100
2021-01-28,144.460007,146.259995,143.630005,143.750000,142.069534,7433900
2021-01-29,143.179993,143.750000,140.350006,140.490005,138.847656,10836400
2021-02-01,140.910004,141.490005,139.190002,139.270004,137.641907,8648400
2021-02-02,139.759995,142.149994,139.440002,140.770004,139.124374,9000800
2021-02-03,140.660004,142.050003,140.630005,141.199997,139.549347,4988900
2021-02-04,141.789993,143.179993,141.259995,142.529999,140.863800,5782100
2021-02-05,143.460007,144.850006,142.529999,144.360001,142.672394,6817200
